127.0.0.1, 2023-12-05 22:46:32, GET, /, HTTP/1.1, 303, 0.003988
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.406397
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002991
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004987
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2023-12-05 22:46:32, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001534
127.0.0.1, 2023-12-05 22:46:33, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-12-05 22:46:33, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000845
127.0.0.1, 2023-12-05 22:46:33, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-12-05 22:46:58, GET, /, HTTP/1.1, 303, 0.000998
127.0.0.1, 2023-12-05 22:46:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.026926
127.0.0.1, 2023-12-05 22:46:59, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000999
127.0.0.1, 2023-12-05 22:47:28, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2023-12-05 22:47:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.029920
127.0.0.1, 2023-12-05 22:47:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/default/index, HTTP/1.1, 200, 0.174312
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/css/calendar.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/js/web2py.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/js/calendar.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000998
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002991
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2023-12-05 22:47:33, GET, /admin/static/_2.27.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000997
